CustomerProductChargeID,CustomerID,AccountNumber,BillingReferenceID,ProductID,DefaultProductDescription,ChargeInstanceDescription,ChargeQuantity,ProductChargeFrequencyID,UnitCostToGCI,UnitChargeToCustomer,ChargeTaxTypeFlag,ChargeStartDate,ChargeEndDate,ChargeBilledUntil,AllowCreditBackFlag,CustomerCustomReference,ChargeInstanceCreateDate,ChargeInstanceCreateUser
618066,234251,MARLBORO,1660795,5488,TempProductDuringCleanUp,Cisco891 - Hardware,1,0,460.17,572.56,1,2017-02-27 00:00:00.000,NULL,NULL,1,,2017-03-21 12:38:19.143,CORP\louise.aldred
618068,234251,MARLBORO,1660795,5488,TempProductDuringCleanUp,Installation and Configuration,1,0,93.75,187.50,1,2017-02-27 00:00:00.000,NULL,NULL,1,,2017-03-21 12:38:19.410,CORP\louise.aldred
616565,234251,MARLBORO,1725241,5488,TempProductDuringCleanUp,Network Engineer for out of hours,1,0,156.25,312.50,1,2017-02-28 00:00:00.000,NULL,NULL,1,,2017-03-13 13:32:30.533,CORP\louise.aldred
597208,234259,NETPROJ,1661187,5488,TempProductDuringCleanUp,Kallik 50Mb Upgrade Install,1,0,250.00,250.00,1,2016-10-18 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-26 14:16:15.750,CORP\louise.aldred
584716,234283,SHGSYS,1666673,5488,TempProductDuringCleanUp,FTTC 80Mb 20Mb,1,0,80.00,80.00,1,2016-05-24 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:51:26.420,GCICOM\akoottungal
596760,234209,DOUBLEED,1684696,5488,TempProductDuringCleanUp,AIR-CAP3602I-E-K9 SLA 8x5x4hr Fix per year,12,0,31.24,37.00,1,2016-10-10 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-18 12:56:47.420,CORP\louise.aldred
596761,234209,DOUBLEED,1684696,5488,TempProductDuringCleanUp,AIR-CT2504-15-K9 SLA 8x5x4hr Fix per year,1,0,262.33,325.00,1,2016-10-10 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-18 12:56:47.510,CORP\louise.aldred
597158,234209,DOUBLEED,1684750,5488,TempProductDuringCleanUp,Engineering Charge,1,0,150.00,150.00,1,2016-09-22 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-26 12:16:55.090,GCICOM\Ksouthall
597346,234209,DOUBLEED,1685938,5488,TempProductDuringCleanUp,2Mb National Ethernet Set Up,1,0,0.00,50.00,1,2016-07-18 00:00:00.000,NULL,2016-11-09 00:00:00.000,1,NULL,2016-10-27 12:28:55.570,GCICOM\astanton
601766,234209,DOUBLEED,1701734,5488,TempProductDuringCleanUp,5MB National Internet Install,1,0,0.00,50.00,1,2016-11-21 00:00:00.000,NULL,2016-12-07 00:00:00.000,1,,2016-11-25 09:17:10.943,CORP\louise.aldred
584672,234209,DOUBLEED,1666707,5488,TempProductDuringCleanUp,P2P Cancellation Fee,1,0,500.00,550.00,1,2016-06-10 00:00:00.000,NULL,2016-07-25 00:00:00.000,1,NULL,2016-07-13 10:15:33.257,GCICOM\akoottungal
609092,234209,DOUBLEED,1684696,5488,TempProductDuringCleanUp,AIR-CAP3602I-E-K9 SLA 8x5x4hr Fix per year,1,0,0.00,6.00,1,2016-10-10 00:00:00.000,NULL,2017-02-09 00:00:00.000,1,NULL,2017-01-17 11:09:50.687,CORP\louise.aldred
584684,234247,LIFECAPX,1666712,5488,TempProductDuringCleanUp,ADSL2Plus Premium Install,1,0,0.00,100.00,1,2016-06-02 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:37.067,GCICOM\akoottungal
584685,234247,LIFECAPX,1666712,5488,TempProductDuringCleanUp,Managed Router Install,1,0,172.00,165.00,1,2016-06-02 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:37.260,GCICOM\akoottungal
584686,234247,LIFECAPX,1666713,5488,TempProductDuringCleanUp,50Mb National Ethernet Regrade Fee,1,0,0.00,250.00,1,2016-06-14 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:37.837,GCICOM\akoottungal
584687,234247,LIFECAPX,1666713,5488,TempProductDuringCleanUp,Managed Router,1,0,237.00,0.00,1,2016-06-14 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:38.037,GCICOM\akoottungal
584688,234247,LIFECAPX,1666714,5488,TempProductDuringCleanUp,10Mb Ethernet Access Install,1,0,350.00,350.00,1,2016-06-20 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:38.413,GCICOM\akoottungal
584689,234247,LIFECAPX,1666714,5488,TempProductDuringCleanUp,Managed Router Install,1,0,112.00,240.00,1,2016-06-20 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:38.627,GCICOM\akoottungal
606367,234247,LIFECAPX,1708957,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,100.00,1,2016-10-14 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:55.927,GCICOM\bmanager
606369,234247,LIFECAPX,1708957,5488,TempProductDuringCleanUp,ADSL Install,1,0,50.00,50.00,1,2016-10-14 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:56.923,GCICOM\bmanager
606372,234247,LIFECAPX,1708957,5488,TempProductDuringCleanUp,Managed Router Cisco 800,1,0,172.00,240.00,1,2016-10-14 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:51:58.573,GCICOM\bmanager
606374,234247,LIFECAPX,1708959,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,100.00,1,2016-11-03 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:52:02.763,GCICOM\bmanager
606376,234247,LIFECAPX,1708959,5488,TempProductDuringCleanUp,ADSL Premium Install,1,0,80.00,80.00,1,2016-11-03 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:52:03.550,GCICOM\bmanager
606379,234247,LIFECAPX,1708959,5488,TempProductDuringCleanUp,Hardware Cisco 800,1,0,172.00,240.00,1,2016-11-03 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-23 11:52:04.853,GCICOM\bmanager
602343,234209,DOUBLEED,1702000,5488,TempProductDuringCleanUp,PSTN Install,1,0,0.00,55.00,1,2016-09-01 00:00:00.000,NULL,2016-12-07 00:00:00.000,1,,2016-11-28 15:13:08.803,GCICOM\Ksouthall
