NumberRangeMapID,NumberRange,NumberRangeClassification,NumberRangeBespokeFlag,NumberRangeType,NumberRangeSource,NumberRangeStartDate,NumberRangeEndDate
513712,3324691,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513713,3324692,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513714,3324696,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513715,3324699,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513716,3324950,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513717,3324951,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513718,3324952,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513719,3324954,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513720,3324955,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513721,3324956,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513722,3324957,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513723,3324958,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513724,3324959,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513725,3324980,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513726,3324981,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513727,3324982,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513728,3324983,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513729,3324984,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513730,3324985,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513731,3324986,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513732,3324987,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513733,3324988,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513734,3325230,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513735,3325231,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513736,3325232,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513737,3325233,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513738,3325234,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513739,3325235,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513740,3325236,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513741,3325237,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513742,3325241,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513743,3325242,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513744,3325243,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513745,3325244,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513746,3325245,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513747,3325246,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513748,3325247,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513749,3325248,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513750,3325249,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513751,3325750,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513752,3325751,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513753,3325752,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513754,3325753,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513755,3325754,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513756,3325757,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513757,3325762,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513758,3325763,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513759,3325764,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513760,3325765,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513761,3325766,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513762,3325767,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513763,3325768,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513764,3325769,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513765,3326110,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513766,3326111,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513767,3326112,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513768,3326113,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513769,3326114,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513770,3326115,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513771,3326116,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513772,3326132,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513773,3326133,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513774,3326134,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513775,3326135,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513776,3326136,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513777,3326137,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513778,3326138,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513779,3326139,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513780,3327820,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513781,3327821,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513782,3327822,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513783,3327823,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513784,3327824,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513785,3327825,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513786,3327826,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513787,3327828,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513788,3327829,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513789,3327840,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513790,3327841,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513791,3327842,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513792,3327843,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513793,3327844,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513794,3327845,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513795,3327846,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513796,3327847,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513797,3327850,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513798,3327851,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513799,3327860,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513800,3327862,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513801,3327867,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513802,3327868,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
513803,3327869,FRANCE.CLEC,0,GCI_INTL,5,2016-08-01,NULL
